@relation 'resume_p2final-weka.filters.unsupervised.attribute.Remove-R1,3,5,6,7,9-weka.filters.unsupervised.attribute.NumericToNominal-R4'

@attribute salary_last numeric
@attribute workmonth numeric
@attribute salary_exp numeric
@attribute position {1,2,3,4,5}

@data
4001,25,4001,3
4001,45,2001,3
4001,7,4001,3
2001,85,2001,3
2001,5,2001,3
4001,30,2001,3
2001,4,2001,3
2001,24,4001,3
2001,7,2001,3
2001,43,2001,3
4001,7,2001,3
4001,22,4001,3
4001,34,4001,3
6001,3,6001,3
6001,11,4001,3
2001,57,2001,3
4001,11,6001,3
4001,11,4001,3
4001,47,4001,3
2001,26,3000,3
4001,75,2001,3
2001,57,2001,3
4001,25,4001,3
2001,32,2001,2
4001,56,4001,3
2001,9,2001,3
4001,64,4001,3
2001,94,4001,3
6001,102,6001,3
15000,72,15000,3
15000,52,15000,4
15000,51,15000,3
10001,56,10001,3
10001,62,10001,3
10001,157,10001,3
8001,108,8001,3
8001,114,10001,3
6001,105,10001,3
8001,61,6001,3
10001,86,10001,3
15000,139,15000,4
2001,47,2001,3
2001,6,8001,3
6001,70,6001,3
10001,163,10001,3
8001,145,15000,3
8001,90,10001,3
4001,112,4500,3
4001,198,4001,3
2001,37,2001,2
10001,88,10001,3
4001,16,4001,3
2001,18,4001,3
6001,57,2001,3
2001,54,4001,3
2001,104,2001,3
2001,23,2001,3
2001,5,2001,3
2001,12,2001,3
2001,11,2001,3
2001,19,2001,3
2001,7,2001,3
4001,22,2001,3
8001,72,4001,3
2001,7,4001,3
2001,6,4001,3
4001,27,4001,3
4001,24,6001,3
2001,37,3000,3
2001,6,4001,3
4001,27,4001,3
2001,42,2001,3
2001,6,4001,3
2001,6,2001,3
4001,27,4001,3
6001,79,10001,3
2001,9,2001,3
4001,20,4001,3
6001,48,6001,3
4001,108,4001,3
4001,11,4001,3
4001,39,4001,3
6001,39,8001,3
2001,10,2001,3
2001,9,2001,3
2001,13,4001,3
4001,14,4001,3
4001,20,4001,3
2001,20,2001,3
4001,27,4001,3
2001,5,4001,3
4001,61,4001,3
6001,54,6001,3
2001,3,4001,3
4001,24,6001,3
4001,25,4001,3
6001,111,6000,3
4001,30,4001,3
6001,20,6001,3
4001,18,6000,3
2001,12,4001,3
2001,18,2001,3
4001,88,4001,3
2001,42,3000,3
4001,81,4001,3
4001,19,4001,3
4001,22,2001,3
2001,26,3000,3
4001,21,4001,1
15000,24,15000,3
4001,24,4001,3
2001,57,2001,3
2001,9,4001,3
2001,3,4001,3
4001,33,4500,3
4001,7,4001,3
2001,10,8001,3
6001,29,4001,3
4001,43,4001,3
4001,9,6001,3
6001,32,6001,3
6001,26,6001,3
2001,47,2001,3
2001,10,2001,3
2001,12,2001,3
2001,20,2001,3
4001,7,2001,3
2001,61,2001,3
6001,44,8001,3
2001,32,2001,3
4001,21,4001,3
4001,32,4001,3
4001,25,4001,3
2001,12,2001,3
2001,54,4001,3
2001,147,2001,3
2001,4,2001,3
2001,10,2001,3
4001,5,6000,3
4001,33,2001,3
6001,2,8001,3
2001,11,6001,3
4001,13,4001,3
4001,32,4001,3
2001,12,2001,3
4001,22,6001,3
2001,59,15000,5
15000,25,15000,3
2001,5,4001,3
2001,4,2001,3
2001,1,2001,3
2001,22,4001,3
4001,40,2001,3
4001,20,4001,3
2001,11,2001,3
2001,20,2001,3
6001,68,6001,3
4001,19,2001,3
2001,94,4001,3
4001,29,4001,3
15000,107,15000,3
4001,22,2001,2
2001,1,4001,3
4001,12,6001,3
2001,17,2001,3
2001,9,2001,3
2001,6,2001,3
2001,9,4001,3
6001,111,6001,3
8001,75,6001,3
2001,21,2001,3
4001,74,2001,1
2001,43,2001,3
2001,25,2001,3
4001,44,4001,3
6001,42,6000,3
2001,13,6001,3
4001,17,4001,2
2001,10,2001,3
10001,54,10001,3
8001,71,8000,3
4001,12,4001,3
2001,28,4001,3
4001,68,2001,3
2001,19,2001,3
2001,14,2001,2
4001,70,4001,2
4001,21,6001,3
6001,14,10001,3
4001,37,2001,3
2001,50,2001,3
8001,75,10001,3
2001,25,2001,3
2001,11,4001,3
2001,48,2001,3
2001,24,2001,3
4001,42,4001,3
2001,48,2001,3
2001,5,2001,3
4001,31,4001,3
4001,24,2001,3
4001,15,4001,3
2001,102,4001,3
2001,36,2001,3
2001,8,2001,2
2001,8,2001,3
6001,40,4001,3
2001,17,2001,3
8001,22,10001,3
4001,74,4001,3
2001,4,2001,3
2001,3,2001,3
6001,76,6001,3
4001,122,6001,4
2001,47,2001,3
4001,67,4001,3
4001,27,4001,3
2001,113,2001,2
2001,3,4001,3
4001,65,2001,3
2001,7,6001,3
2001,19,4001,3
4001,75,4001,3
2001,18,4001,3
8001,68,8001,3
6001,11,8001,3
4001,11,2001,3
4001,27,6001,3
4001,25,2001,3
2001,9,4001,3
2001,15,2001,3
4001,27,4001,3
2001,41,2001,3
4001,2,6001,3
4001,47,4001,3
2001,19,4001,3
4001,78,4001,3
2001,15,4001,3
6001,36,6001,3
2001,4,2001,3
2001,4,2001,2
4001,9,6001,3
6001,54,4001,3
2001,26,4001,3
2001,61,2001,3
2001,28,2001,3
2001,37,2001,3
4001,7,6001,3
4001,35,4001,3
2001,10,4001,3
6001,6,4001,3
2001,20,2001,3
4001,15,8001,3
2001,12,4001,3
4001,18,4001,3
2001,51,2001,3
2001,21,2001,3
2001,26,2001,2
2001,23,4001,3
2001,4,2001,3
2001,26,2001,3
4001,150,2001,3
6001,45,6001,3
2001,11,2001,3
2001,7,2001,3
4001,28,4500,3
2001,15,4001,3
2001,2,2001,3
2001,18,4500,3
2001,31,3000,2
4001,16,4001,3
6001,24,4001,3
4001,5,4001,3
6001,7,4500,4
2001,10,2001,3
6001,5,6001,3
2001,34,2001,2
2001,30,2001,3
2001,34,4001,3
2001,8,2001,3
8001,17,8001,3
4001,8,4001,3
4001,8,4001,3
2001,23,4001,3
4001,44,4001,3
4001,13,4001,3
4001,6,2001,3
4001,12,4500,3
4001,34,4001,3
2001,14,2001,3
4001,20,6001,3
4001,27,2001,3
4001,18,4001,3
4001,15,6001,3
4001,146,4001,3
6001,75,8001,3
4001,47,6001,3
4001,32,6001,3
2001,16,4001,3
2001,5,4001,3
4001,57,4001,3
2001,38,2001,3
4001,9,4001,3
2001,17,4001,3
2001,16,2001,3
2001,5,4001,3
2001,5,2001,3
2001,6,4001,3
2001,14,2001,3
4001,23,4500,4
2001,32,4001,3
4001,19,4001,3
2001,14,2001,3
2001,43,2001,2
4001,34,4001,3
2001,16,2001,3
2001,7,2001,3
2001,15,4001,3
8001,11,8001,3
8001,99,4001,3
2001,23,2001,3
2001,53,2001,3
4001,19,4001,3
2001,31,2001,3
4001,20,2001,3
2001,66,2001,3
4001,13,4001,3
2001,15,4001,3
4001,16,6001,3
2001,65,2001,3
2001,20,2001,3
10001,45,10001,3
4001,62,4001,3
10001,168,15000,3
8001,61,8001,3
2001,2,2001,3
2001,12,4001,3
2001,12,3000,2
8001,16,8001,3
4001,108,4001,3
4001,5,4001,3
2001,93,2001,3
2001,5,4001,3
2001,31,4001,3
4001,16,6001,3
4001,13,4500,3
2001,6,4001,3
2001,10,4001,3
4001,30,4001,3
6001,31,4001,3
2001,124,6001,2
8001,24,4001,3
2001,25,4001,3
2001,35,6001,3
2001,37,6001,3
2001,13,4001,3
2001,9,2001,3
2001,13,2001,3
2001,4,4001,3
4001,4,2001,3
2001,7,4001,3
2001,52,6001,3
2001,41,2001,2
8001,54,8001,3
15000,15,10001,5
6001,77,10001,3
4001,47,2001,3
2001,14,2001,3
6001,14,6001,3
4001,3,2001,3
2001,62,2001,3
2001,40,2001,3
4001,28,6001,3
2001,56,2001,3
2001,29,4001,3
4001,17,4001,3
4001,21,4001,3
2001,20,4001,3
2001,7,2001,3
4001,20,4001,3
2001,9,2001,3
4001,8,4001,3
4001,147,4001,3
2001,52,2001,3
2001,303,2001,3
2001,8,2001,3
2001,7,2001,3
6001,29,4001,3
2001,2,2001,3
2001,17,2001,3
2001,8,2001,3
2001,7,2001,3
2001,8,2001,3
6001,59,4001,3
2001,16,4001,3
4001,75,8001,3
2001,14,2001,3
2001,5,2001,3
2001,29,2001,3
2001,24,2001,3
2001,32,2001,3
2001,67,4001,3
4001,27,3000,3
2001,5,2001,3
2001,27,2001,3
2001,49,2001,3
2001,8,2001,3
2001,6,3000,3
2001,18,2001,3
6001,46,6001,3
2001,6,2001,3
2001,13,2001,3
2001,27,2001,3
2001,2,4001,3
4001,14,4001,3
2001,61,2001,3
2001,100,4001,3
4001,12,4001,3
4001,14,4001,3
4001,21,2001,3
2001,2,4001,3
2001,4,2001,3
4001,24,2001,3
2001,57,2001,2
2001,32,2001,3
2001,40,4001,3
4001,18,4001,3
4001,36,6001,3
2001,6,4001,3
2001,14,4001,3
4001,61,6001,3
2001,22,2001,3
4001,5,4001,3
2001,15,2001,3
2001,22,2001,3
4001,7,4001,3
2001,126,4001,3
2001,2,2001,3
2001,20,2001,3
2001,34,2001,3
2001,43,2001,2
2001,3,2001,3
4001,25,4001,3
2001,13,2001,3
4001,57,4001,3
2001,125,2001,3
2001,15,2001,3
2001,96,4001,3
2001,46,2001,3
2001,2,2001,3
2001,3,2001,3
4001,100,8001,4
4001,76,4001,3
2001,12,4001,3
4001,43,4001,3
4001,21,6001,3
6001,69,6001,3
4001,64,6001,3
8001,92,8001,3
2001,54,2001,3
2001,3,2001,3
6001,47,6001,3
6001,30,8001,3
8001,47,8001,3
6001,48,8001,3
6001,70,6001,3
8001,162,8001,3
4001,24,4001,3
8001,96,10001,4
8001,203,8001,3
8001,43,6001,3
4001,22,4001,3
2001,8,4500,3
4001,35,2001,3
2001,9,2001,3
4001,61,4001,3
4001,27,4001,3
2001,12,4001,3
2001,4,2001,3
8001,55,6001,3
8001,10,8001,3
4001,93,4001,3
2001,30,2001,3
4001,42,4001,3
2001,13,6001,3
2001,12,4001,3
4001,25,2001,3
2001,7,2001,3
4001,50,4001,3
4001,63,6001,3
2001,16,4001,3
2001,96,2001,3
2001,14,2001,2
2001,4,2001,3
2001,8,2001,3
4500,60,6001,3
4001,97,6001,3
2001,21,2001,3
8001,73,8001,3
10001,20,10001,3
6001,36,10001,3
10001,139,15000,3
10001,130,10001,3
8001,80,10001,3
6001,19,6001,3
15000,103,15000,3
4001,57,6001,3
10001,56,10001,3
10001,158,10001,3
4001,53,6001,3
2001,14,2001,3
4001,22,6001,3
6001,38,8001,3
4001,43,4001,3
15000,35,15000,3
2001,13,6001,3
2001,6,2001,3
4001,64,4001,3
2001,21,2001,3
4001,54,4001,3
2001,17,4001,3
2001,11,4001,3
4001,17,4001,3
2001,53,2001,3
2001,6,2001,3
10001,51,15000,3
6001,33,15000,3
4001,35,4001,3
2001,2,2001,3
2001,44,2001,3
4001,29,4001,3
6001,28,4001,3
6001,36,4001,3
6001,11,6001,3
2001,7,2001,3
2001,4,2001,4
4001,29,4001,3
2001,33,2001,3
2001,1,4001,3
2001,11,2001,3
2001,15,8001,3
2001,14,4001,3
4001,58,6001,3
4001,11,4001,3
6001,13,6001,3
2001,66,2001,3
2001,48,4001,3
4001,20,2001,3
4001,21,4001,3
2001,9,4001,3
2001,2,4001,3
2001,2,2001,3
2001,19,2001,3
8001,9,6001,3
6001,32,4001,3
2001,1,2001,3
4001,22,4001,3
4001,16,2001,3
6001,66,4001,3
8001,20,6001,3
2001,13,4001,3
2001,38,4001,3
2001,23,2001,3
4001,45,2001,2
2001,12,4001,3
6001,22,10001,3
4001,27,4001,3
4001,29,8001,3
4001,27,4001,3
4001,65,4001,3
4001,8,2001,2
4001,24,4001,2
2001,56,4001,3
4001,7,4001,3
4001,4,4001,3
2001,10,4001,3
4001,16,6001,3
4001,7,4001,3
4001,25,4001,3
4001,4,4500,3
2001,5,2001,3
4001,91,6001,3
2001,7,2001,3
4001,59,4001,3
4001,33,4001,3
2001,20,2001,3
4001,139,4001,3
2001,37,2001,3
2001,61,2001,3
6001,36,6001,3
2001,17,2001,3
2001,1,4001,3
4001,47,4001,3
2001,16,2001,3
2001,21,2001,3
2001,28,4001,3
2001,28,4001,3
4001,24,4001,3
2001,5,2001,3
4001,30,6000,3
4001,8,4001,3
4001,19,4001,3
2001,14,4001,3
10001,47,4001,3
6001,16,4001,3
4001,41,4500,3
4001,7,4001,3
4001,17,4001,3
4001,29,4001,3
4001,11,4001,3
4001,57,4001,3
2001,29,4001,3
6001,3,6001,3
10001,88,10001,3
15000,50,15000,3
4001,29,4001,3
6001,29,8001,3
8001,56,10001,3
8001,29,10001,3
6001,37,8001,3
8001,51,10001,3
10001,7,10001,3
8001,40,10001,3
4001,4,10001,3
10001,47,15000,3
8001,53,15000,3
8001,35,3000,4
2001,10,4001,3
4001,87,4001,3
4001,8,6001,3
4001,53,4500,3
2001,8,2001,3
4001,27,10000,3
2001,1,3000,3
10001,20,8001,3
8001,76,15000,3
6001,19,6001,3
2001,31,4001,3
2001,8,2001,3
2001,3,2001,3
2001,34,3000,3
4001,31,4001,3
2001,31,2001,3
8001,16,8001,3
2001,63,2001,3
4001,18,3000,3
2001,10,2001,3
2001,16,2001,3
2001,16,3000,3
2001,8,2001,3
4001,42,4001,3
2001,3,2001,3
2001,7,2001,3
2001,17,2001,3
4001,130,6001,3
4001,32,6001,3
2001,16,4001,3
2001,13,2001,3
2001,16,2001,3
2001,95,2001,3
6001,32,4001,3
2001,33,2001,3
2001,9,2001,3
2001,4,4001,3
2001,24,4001,3
6001,11,2001,3
4001,33,2001,3
6001,31,6001,3
2001,2,2001,3
2001,84,2001,3
2001,33,2001,3
2001,18,2001,3
2001,140,4001,3
2001,10,4001,3
10001,152,10001,3
2001,40,2001,3
4001,14,6001,3
8001,62,6001,3
4001,43,4001,3
4001,231,4001,3
4001,18,4001,3
4001,4,2001,3
8001,124,4001,3
4001,13,4001,3
4001,9,4001,3
6001,40,4001,3
4001,12,2001,3
4001,10,4001,3
4001,25,4001,3
4001,167,2001,3
6001,25,6001,3
2001,13,4001,3
4001,8,4001,3
2001,7,2001,3
4001,60,2001,4
2001,18,2001,3
2001,32,4001,3
4001,10,4001,3
2001,107,8001,3
4001,32,4001,3
2001,13,2001,3
2001,42,4001,3
2001,15,4001,3
4001,30,4001,3
4001,80,4001,3
4001,74,4001,2
6001,57,6001,3
4001,33,2001,3
4001,32,4001,4
4001,12,2001,3
2001,27,4001,3
2001,30,2001,3
4001,21,2001,3
2001,10,2001,3
2001,27,2001,3
6001,56,6001,3
4001,17,4001,3
2001,17,2001,3
6001,28,4001,3
2001,39,2001,3
2001,21,2001,3
2001,76,2001,3
6001,54,2001,3
15000,69,10001,3
6001,31,4001,3
8001,47,6001,3
4001,31,4001,3
2001,26,2001,3
4001,26,6001,3
4001,26,4001,3
4001,9,4001,3
4001,74,4001,3
2001,66,4001,3
4001,97,4001,3
8001,47,8001,3
4001,86,4001,3
4001,12,2001,3
6001,19,4001,3
4001,56,4001,3
4001,16,4001,3
2001,28,2001,3
4001,76,4001,3
2001,23,4001,3
4001,14,4001,3
2001,4,2001,3
4001,15,6000,3
4001,51,4001,3
4001,7,4001,3
6001,36,8001,3
4001,1,4001,3
2001,57,2001,3
4001,29,4001,3
4001,12,4001,3
4001,15,6001,2
4001,34,2001,3
10001,141,15000,3
2001,7,2001,3
6001,55,2001,3
2001,5,2001,3
4001,54,4001,3
6001,14,4001,3
2001,46,2001,3
2001,10,2001,3
2001,31,2001,3
2001,55,2001,3
2001,26,2001,3
2001,23,2001,3
2001,14,2001,3
6001,21,4001,3
2001,8,2001,3
8001,35,8001,3
4001,38,4001,3
4001,20,4001,3
2001,18,2001,3
2001,3,2001,3
2001,8,2001,3
2001,10,2001,3
6001,30,2001,3
2001,10,4001,3
4001,31,4001,3
2001,1,2001,3
2001,5,2001,3
2001,30,4001,2
2001,44,2001,3
2001,45,4001,3
2001,51,4001,3
2001,34,2001,3
4001,6,2001,3
4001,34,2001,3
4001,25,2001,3
2001,17,2001,2
4001,4,4001,3
2001,19,4001,3
2001,29,2001,3
2001,25,2001,2
2001,8,2001,3
10001,21,8001,3
4001,96,4001,3
8001,21,8000,3
8001,13,4001,3
4001,31,6001,3
6001,46,4001,3
2001,5,4001,3
6001,237,6001,3
6001,27,6001,3
8001,49,8001,3
4001,69,4001,3
6001,24,6001,3
4001,5,4001,3
4001,37,6001,3
2001,7,2001,3
4001,195,2001,3
4001,10,6001,3
2001,5,2001,3
2001,68,2001,3
2001,17,2001,3
4001,56,4001,3
2001,9,2001,3
2001,10,4001,3
2001,9,2001,3
2001,19,2001,3
6001,73,8001,3
6001,58,10001,4
2001,12,2001,3
4001,54,4001,3
2001,7,4001,3
6001,25,8001,3
2001,24,4001,3
4001,31,2001,3
2001,7,2001,2
6001,106,4001,2
6001,28,6001,3
4001,46,4001,4
2001,12,4001,3
2001,74,2001,3
4001,17,4500,2
4001,18,6001,4
4001,23,4001,4
4001,11,4001,3
4001,34,4001,3
8001,120,6001,3
2001,2,2001,3
2001,3,2001,3
2001,19,2001,3
4001,22,4001,3
4001,34,2001,3
2001,3,2001,3
4001,14,4001,3
2001,15,4001,3
2001,71,4001,3
6001,64,6001,3
2001,208,4001,3
4001,131,4001,3
2001,153,4001,3
2001,12,2001,3
4001,61,4001,3
2001,12,4001,3
4001,24,2001,3
4001,20,4001,3
2001,14,2001,3
4001,75,4001,3
4001,10,4001,3
4001,61,6001,3
4001,84,4001,3
2001,33,4001,3
2001,3,2001,3
2001,6,2001,3
4001,28,2001,3
4001,32,4001,3
2001,41,3000,3
2001,3,2001,3
6001,101,6001,3
2001,4,2001,3
4001,27,4001,3
2001,6,2001,2
2001,8,2001,3
4001,6,4001,3
4001,52,3000,3
2001,10,4001,3
4001,27,4001,3
2001,8,4001,3
2001,2,4001,3
4001,23,4500,3
4001,24,4001,3
4001,68,4001,3
10001,48,10001,3
2001,21,2001,3
2001,21,4001,3
4001,7,4001,3
2001,37,2001,3
2001,7,6001,3
4001,61,6001,3
4001,37,6001,3
2001,6,2001,3
4001,9,4001,3
4001,176,4001,3
6001,12,4001,3
2001,8,2001,3
8001,35,4001,3
4001,15,4001,3
2001,29,2001,1
2001,24,4001,3
4001,91,4001,3
4001,27,4001,2
2001,7,2001,3
4001,55,4001,3
2001,10,2001,3
2001,12,4001,3
2001,29,2001,3
6001,20,6001,3
4001,21,6001,3
4001,6,6001,3
4001,126,6001,3
4001,18,4001,3
6001,9,6001,3
6001,22,6001,3
4001,23,4001,3
2001,5,2001,3
2001,15,2001,4
2001,63,4001,3
2001,7,6001,3
4001,8,3000,3
2001,10,2001,3
2001,22,2001,3
4001,37,4001,3
2001,10,2001,3
4001,27,4001,3
2001,13,2001,3
2001,4,2001,3
2001,67,2001,3
4001,22,2001,3
2001,4,2001,3
4001,82,6001,3
2001,35,6001,3
2001,19,2001,3
2001,1,2001,3
2001,57,2001,3
2001,11,2001,3
6001,47,4001,3
2001,7,2001,3
4001,9,2001,3
2001,3,2001,3
2001,12,2001,3
2001,10,4001,3
2001,8,4001,3
4001,8,4001,3
4001,24,4001,3
2001,10,4001,3
4001,20,2001,3
4001,6,6001,3
4001,7,2001,3
2001,49,4001,3
2001,2,4001,3
6001,43,6001,3
2001,77,4001,3
2001,43,4001,3
4001,3,6001,3
2001,3,2001,3
4001,75,8001,3
2001,14,4001,3
4001,31,4001,3
4001,100,4001,3
2001,7,3000,3
2001,42,4001,3
4001,13,4001,3
4001,49,6001,3
2001,22,2001,3
2001,23,2001,3
2001,9,4001,3
2001,57,2001,3
2001,32,2001,3
2001,16,4001,3
4001,15,3000,3
6001,26,6001,3
2001,57,2001,3
2001,8,2001,3
4001,6,6001,3
6001,26,8001,3
4001,61,4001,3
6001,2,8001,3
2001,3,2001,3
2001,28,4001,3
4001,94,6001,3
6001,22,4001,3
2001,7,2001,3
2001,2,2001,3
4001,2,2001,2
10001,111,10001,3
4001,16,6001,3
2001,10,4001,3
6001,42,8001,3
4001,28,2001,3
4001,28,10001,3
2001,18,4001,4
4001,69,4001,2
2001,10,2001,3
2001,9,4001,3
4001,28,4001,3
4001,93,4001,3
2001,15,2001,3
2001,16,4001,3
4001,4,4001,3
2001,13,4001,3
2001,23,4001,3
2001,12,2001,3
2001,12,4001,3
2001,13,4001,3
4001,25,2001,3
2001,7,2001,3
2001,12,4001,3
4001,11,6001,3
2001,6,2001,2
4001,32,4001,3
2001,5,2001,4
2001,20,4001,3
2001,7,2001,3
2001,0,3000,3
4001,26,2001,3
2001,2,2001,3
6001,9,6001,3
4001,25,4001,3
6001,62,8001,3
2001,47,4001,3
2001,9,2001,3
2001,13,2001,3
2001,1,2001,3
2001,16,2001,3
4001,26,4001,3
2001,10,4001,3
4001,6,4001,3
10001,126,10001,3
6001,142,6001,3
6001,39,10001,3
6001,17,6001,3
6001,66,10001,3
2001,2,4001,3
8001,7,8001,3
10001,175,10001,3
4001,59,4001,3
6001,155,6001,3
6001,253,6001,3
2001,11,2001,2
4001,9,6001,3
4001,54,4001,3
2001,3,3000,3
2001,5,2001,3
2001,18,2001,3
6001,85,6001,3
4001,100,4001,3
4001,23,4001,3
2001,28,4001,2
4001,16,4001,3
4001,35,4001,3
2001,6,4001,3
2001,5,4001,3
2001,9,2001,3
2001,0,2001,3
2001,21,2001,3
2001,2,4001,3
4001,3,2001,3
6001,120,2001,3
6001,18,6001,3
2001,29,4001,3
2001,27,2001,3
2001,11,2001,3
4001,12,6001,3
8001,107,8001,4
8001,12,6001,4
15000,25,15000,3
6001,141,8001,3
6001,22,6001,3
2001,4,2001,3
2001,9,2001,3
4001,39,6001,3
4001,8,4001,3
2001,6,4001,3
4001,15,4001,3
4001,79,4001,3
4001,47,4001,3
6001,154,6001,4
4001,17,10001,3
2001,12,2001,3
2001,2,2001,3
6001,167,6001,3
2001,16,2001,3
2001,1,4001,3
4001,94,2001,3
4001,54,4001,4
4001,20,6001,3
4001,14,2001,3
4001,14,2001,3
4001,12,2001,3
4001,41,2001,3
4001,53,4500,3
4001,47,4001,3
2001,7,4001,3
2001,36,4001,3
2001,6,4001,3
4001,42,4001,3
6001,36,6001,4
2001,3,4001,3
2001,26,4001,3
2001,19,2001,3
2001,5,2001,3
4001,33,8001,3
4001,39,4001,3
2001,8,2001,1
4001,44,2001,3
4001,52,4001,4
6001,16,8001,3
2001,30,2001,3
4001,8,4001,3
6001,12,10001,3
4001,20,4001,3
2001,14,2001,3
4001,18,4001,3
2001,39,2001,3
6001,13,6001,3
2001,11,2001,3
2001,24,2001,3
2001,7,2001,3
2001,12,2001,3
4001,16,4001,3
4001,4,4001,3
2001,13,2001,3
2001,33,2001,3
4001,8,4500,3
10001,172,6001,3
4001,43,4001,3
2001,13,2001,3
2001,15,4001,3
2001,15,4001,3
2001,13,4001,3
2001,5,2001,3
2001,2,2001,3
4001,8,4001,3
2001,3,4001,3
2001,12,2001,3
2001,15,2001,3
2001,20,2001,3
2001,2,2001,3
2001,6,2001,3
6001,9,6000,3
2001,10,2001,3
4001,22,4001,3
2001,44,2001,3
2001,3,2001,3
10001,69,8001,3
6001,41,4001,3
2001,11,4001,3
2001,39,2001,3
4001,48,2001,3
2001,4,2001,3
2001,5,2001,3
4001,23,4001,3
4001,14,4001,3
4001,24,4001,3
4001,45,4001,3
4001,7,6001,3
8001,68,8000,3
2001,7,2001,3
2001,33,2001,3
2001,8,2001,3
15000,96,15000,3
2001,10,2001,3
4001,23,8000,3
4001,13,4001,3
2001,26,2001,3
2001,3,4001,3
4001,30,2001,3
4001,34,6001,3
2001,34,2001,3
4001,11,4001,3
4001,20,4001,3
6001,38,4001,3
2001,12,3000,3
8001,33,2001,3
4001,15,4001,3
4001,30,4001,3
4001,45,4001,3
2001,11,2001,3
2001,6,2001,4
2001,20,4001,3
10001,33,8001,3
2001,26,2001,3
2001,36,4001,3
2001,18,2001,3
6001,20,8001,3
4001,50,4001,3
2001,5,2001,4
6001,74,4001,3
4001,16,4001,3
2001,2,2001,3
4001,15,4001,3
2001,48,2001,3
4001,44,2001,3
4001,72,4001,3
2001,25,2001,3
4001,67,4001,3
4001,6,4001,3
10001,6,6001,3
4001,22,4001,3
2001,6,4001,3
2001,27,4001,3
4001,30,4001,3
2001,20,4001,3
6001,12,4001,3
6001,17,6001,3
4001,7,4001,3
4001,21,4001,3
4001,7,6001,3
6001,40,8001,3
2001,100,4001,3
2001,63,4001,3
4001,20,2001,3
4001,43,4001,3
2001,5,2001,3
2001,36,2001,3
2001,5,2001,3
2001,5,2001,3
10001,15,10001,3
2001,2,2001,3
4001,66,4001,3
2001,10,4001,4
2001,1,4001,3
8001,15,6001,3
2001,15,4001,3
2001,5,2001,3
4001,6,4001,3
4001,8,4001,3
4001,77,8001,3
2001,52,2001,3
4001,6,8001,3
4001,27,2001,3
2001,11,4001,3
4001,301,4001,3
4001,28,4001,3
2001,1,2001,3
4001,13,4001,2
2001,18,2001,3
4001,15,4500,3
2001,6,2001,3
2001,42,3000,3
4001,32,4001,3
2001,12,2001,3
2001,14,2001,3
4001,16,2001,3
4001,10,6001,3
4001,39,4001,3
2001,17,3000,3
2001,13,2001,3
8001,34,8001,3
6001,99,15000,3
2001,178,2001,3
8001,26,8001,3
2001,34,4001,3
8001,24,6001,3
4001,23,4001,3
4001,45,2001,3
4001,12,6001,3
2001,19,2001,3
2001,17,4001,3
2001,23,2001,3
4001,34,2001,3
4001,17,4001,3
2001,2,4001,3
4001,9,6001,3
2001,15,4001,3
4001,16,4001,4
4001,15,2001,3
2001,8,4001,2
2001,2,2001,3
6001,30,6001,3
4001,5,2001,3
4001,36,6001,3
2001,6,2001,3
2001,10,2001,3
2001,6,2001,3
4001,3,2001,3
2001,12,2001,3
4001,11,2001,2
2001,10,4001,3
4001,19,6001,3
2001,5,2001,3
2001,64,2001,3
4001,70,4001,3
6001,167,6001,3
4001,50,4001,3
2001,22,4001,3
4001,15,4001,3
4001,63,4001,3
2001,16,4001,3
4001,28,4001,3
2001,7,2001,3
2001,14,3000,3
6001,6,6001,3
6001,23,6001,3
2001,5,2001,3
4001,21,6001,3
4001,16,4001,3
6001,53,8001,3
2001,13,2001,3
2001,15,2001,3
2001,2,2001,4
4001,74,4500,3
4001,8,4001,3
6001,55,6001,3
2001,1,2001,2
2001,24,2001,3
2001,1,2001,3
4001,16,4500,3
2001,6,2001,3
4001,14,4001,3
2001,18,2001,3
4001,25,6001,3
2001,23,2001,3
4001,42,4001,3
6001,14,8001,3
6001,46,4001,3
2001,0,4500,3
2001,12,2001,3
4001,11,4001,3
2001,12,2001,3
4001,61,4001,3
2001,17,2001,3
4001,27,6001,3
4001,11,4001,3
2001,8,2001,3
8001,54,8001,4
2001,46,2001,3
4001,25,6001,3
4001,58,4001,3
6001,34,6001,3
4001,26,4001,3
4001,129,2001,3
4001,39,6001,3
6001,50,8001,3
2001,21,2001,3
4001,14,4001,3
4001,43,4001,2
4001,64,4500,3
6001,31,8001,4
6001,13,2001,3
4001,33,6001,3
4001,45,4001,3
2001,62,4001,3
2001,11,2001,3
2001,132,2001,3
4001,26,4001,3
4001,17,4001,3
6001,14,2001,3
2001,12,4001,3
4001,43,6001,3
4001,3,4500,3
4001,15,6001,3
6001,23,6001,3
4001,36,6001,3
2001,17,2001,3
2001,13,4001,3
2001,6,2001,3
4001,103,4001,3
2001,70,2001,3
8001,115,8001,3
2001,18,2001,3
6001,42,6001,3
6001,87,8001,3
2001,11,2001,3
2001,12,2001,3
4001,5,6001,3
4001,8,4001,3
4001,25,8001,3
6001,49,6001,2
4001,13,6000,3
4001,19,6001,3
4001,33,8001,3
4001,7,2001,3
2001,10,2001,3
4001,40,6001,3
2001,8,4001,3
2001,33,4001,3
4001,12,4001,3
2001,3,2001,3
6001,68,4001,3
4001,26,6001,3
2001,51,2001,3
10001,11,10001,3
2001,28,4001,3
