@relation 'resume_p2final-weka.filters.unsupervised.attribute.Remove-R1,3,5,6,7,9-weka.filters.unsupervised.attribute.NumericToNominal-R4'

@attribute salary_last numeric
@attribute workmonth numeric
@attribute salary_exp numeric
@attribute position {1,2,3,4,5}

@data
4001,11,4001,3
6001,12,8001,3
4001,9,4001,3
2001,17,4001,3
2001,4,2001,3
2001,7,2001,3
10001,336,15000,3
2001,35,2001,3
2001,214,2001,3
2001,30,2001,3
4001,10,6001,3
2001,29,4001,3
2001,3,4001,3
4001,86,2001,3
4001,6,2001,3
8001,65,10000,3
4001,6,4001,3
4001,41,4001,3
4001,12,6001,3
2001,20,2001,3
2001,39,4001,3
2001,4,2001,3
2001,19,2001,3
2001,36,2001,3
2001,15,4001,3
4001,132,4001,3
2001,8,8001,3
2001,12,2001,3
2001,33,4001,3
4001,20,4001,3
8001,34,8001,3
2001,42,2001,2
2001,2,4001,3
4001,13,6001,3
6001,60,6001,3
2001,70,2001,3
4001,10,4001,3
10001,52,10001,3
2001,6,6001,3
8001,22,4001,3
2001,87,2001,3
2001,28,4001,3
2001,6,2001,3
2001,37,4001,3
2001,3,2001,3
2001,78,2001,3
2001,59,4001,3
4001,42,4001,3
4001,149,4001,3
2001,80,2001,3
4001,7,4001,3
4001,17,2001,3
6001,13,6001,3
4001,86,4001,3
2001,39,2001,3
2001,18,2001,3
4001,2,4001,3
6001,113,6001,3
4001,77,4001,3
4001,51,6001,3
2001,8,2001,3
2001,44,2001,3
4001,101,6001,3
6001,62,6001,3
2001,5,2001,3
2001,15,4001,3
4001,4,4001,3
2001,54,2001,3
2001,5,2001,3
4001,24,4001,3
10001,45,10001,3
2001,5,2001,3
6001,23,6001,3
8001,71,10001,3
8001,142,15000,3
10001,18,15000,3
4001,14,2001,2
15000,173,15000,3
4001,15,6001,3
2001,33,2001,3
2001,17,2001,3
4001,32,4001,3
2001,14,4001,3
2001,28,4001,3
6001,107,8001,3
4001,38,4001,3
4001,12,4001,3
4001,35,4001,3
2001,5,4001,3
6001,30,6001,3
2001,37,4001,3
10001,138,15000,3
4001,23,4001,3
4001,16,4001,3
6001,66,4001,3
4001,28,8001,3
2001,9,4001,3
6001,120,6001,3
4001,14,2001,3
4001,40,4001,3
4001,33,6001,3
2001,12,2001,3
6001,65,8001,3
6001,13,6001,3
2001,1,2001,3
4001,17,6001,3
4001,5,4001,3
4001,13,4001,3
6001,48,6001,3
4001,3,4001,3
4001,4,4001,3
4001,9,4001,3
4001,87,6001,3
4001,76,6001,3
4001,23,4001,3
2001,2,2001,3
2001,1,2001,3
4001,13,4001,2
2001,7,4001,3
4001,38,4001,3
2001,4,2001,3
4001,10,6001,3
4001,5,6001,3
6001,11,6001,3
4001,13,6001,3
4001,15,2001,3
2001,8,2001,3
2001,10,2001,3
4001,22,4001,3
8001,20,4001,3
4001,34,6001,3
6001,16,6001,3
6001,55,6001,3
8001,25,8001,4
2001,12,6001,3
6001,43,10001,3
4001,48,4001,3
6001,7,6001,3
2001,18,2001,3
2001,12,6001,3
4001,15,4001,3
4001,126,2001,2
4001,137,4001,3
2001,8,2001,3
4001,146,4001,3
6000,53,7000,3
6000,53,7000,3
4001,15,4001,3
6000,53,7000,3
6000,53,7000,3
6000,53,7000,3
2200,24,4000,3
6001,6,6001,3
4001,30,4001,3
4001,43,4001,3
10001,51,15000,4
8001,41,8001,3
2001,2,2001,3
6001,53,8001,3
4001,4,2001,3
2001,2,2001,3
6001,29,4001,3
4001,21,4001,3
2001,30,2001,3
4001,22,6001,3
6001,133,6001,3
10001,19,10001,3
10001,27,10001,3
4001,7,6001,3
4001,17,8001,3
10001,11,10001,3
2001,6,6001,3
6001,16,8001,3
10001,28,10001,3
4001,4,4001,4
6001,28,8001,3
4001,14,4001,3
6001,14,8001,3
4001,9,4001,3
6001,8,4001,3
2001,28,2001,3
8001,34,8001,3
